id,name,shortname,unit_id,unit
129169,Surface solar radiation downwards gradient,ssrdgrd,6,
129170,Soil temperature level 2 gradient,stl2grd,2,
129171,Soil wetness level 2 gradient,swl2grd,22,
129172,Land-sea mask gradient,lsmgrd,3,
129173,Surface roughness gradient,srgrd,4,
129174,Albedo gradient,algrd,3,
129175,Surface thermal radiation downwards gradient,strdgrd,6,
129176,Surface net solar radiation gradient,ssrgrd,6,
129177,Surface net thermal radiation gradient,strgrd,6,
129178,Top net solar radiation gradient,tsrgrd,6,
129179,Top net thermal radiation gradient,ttrgrd,6,
129180,East-West surface stress gradient,ewssgrd,14,
129181,North-South surface stress gradient,nsssgrd,14,
129182,Evaporation gradient,egrd,22,
129183,Soil temperature level 3 gradient,stl3grd,2,
129184,Soil wetness level 3 gradient,swl3grd,22,
129185,Convective cloud cover gradient,cccgrd,3,
129186,Low cloud cover gradient,lccgrd,3,
129187,Medium cloud cover gradient,mccgrd,3,
129188,High cloud cover gradient,hccgrd,3,
129189,Sunshine duration gradient,sundgrd,12,
129190,East-West component of sub-gridscale orographic variance gradient,ewovgrd,31,
129191,North-South component of sub-gridscale orographic variance gradient,nsovgrd,31,
129192,North-West/South-East component of sub-gridscale orographic variance gradient,nwovgrd,31,
129193,North-East/South-West component of sub-gridscale orographic variance gradient,neovgrd,31,
129194,Brightness temperature gradient,btmpgrd,2,
129195,Longitudinal component of gravity wave stress gradient,lgwsgrd,14,
129196,Meridional component of gravity wave stress gradient,mgwsgrd,14,
129197,Gravity wave dissipation gradient,gwdgrd,6,
129198,Skin reservoir content gradient,srcgrd,22,
129199,Vegetation fraction gradient,veggrd,3,
129200,Variance of sub-gridscale orography gradient,vsogrd,31,
129201,Maximum temperature at 2 metres since previous post-processing gradient,mx2tgrd,2,
129202,Minimum temperature at 2 metres since previous post-processing gradient,mn2tgrd,2,
129203,Ozone mass mixing ratio gradient,o3grd,21,
129204,Precipitation analysis weights gradient,pawgrd,7,
129205,Runoff gradient,rogrd,4,
129206,Total column ozone gradient,tco3grd,22,
129207,10 metre wind speed gradient,10sigrd,5,
129208,"Top net solar radiation, clear sky gradient",tsrcgrd,6,
